date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:27:50	2457/2457	---MCZ	200	added ('OK')	application/json	date:Sat,%2029%20Aug%202020%2021:27:54%20GMT	http://www.tedxyouthalamitosbay.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.tedxyouthalamitosbay.com%2Fdsc_0143%2F	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/www.tedxyouthalamitosbay.com/wp-json/oembed/1.0/embed46b9.json	(from http://www.tedxyouthalamitosbay.com/dsc_0143/)
14:27:51	2591/2591	---MCZ	200	added ('OK')	text/xml	date:Sat,%2029%20Aug%202020%2021:27:55%20GMT	http://www.tedxyouthalamitosbay.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.tedxyouthalamitosbay.com%2Fdsc_0143%2F&format=xml	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/www.tedxyouthalamitosbay.com/wp-json/oembed/1.0/embedfece	(from http://www.tedxyouthalamitosbay.com/dsc_0143/)
14:27:53	21335/21335	---M--	200	added ('OK')	image/jpeg	etag:%222bfe5ead26215269%22	https://i1.wp.com/www.tedxyouthalamitosbay.com/wp-content/uploads/2017/04/DSC_0143.jpg?fit=300%2C200	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/i1.wp.com/www.tedxyouthalamitosbay.com/wp-content/uploads/2017/04/DSC_014350d7.jpg	(from http://www.tedxyouthalamitosbay.com/dsc_0143/)
14:27:54	776/776	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2278cad7160ebe9db6a1c9470f226d4653-gzip%22	http://www.tedxyouthalamitosbay.com/feed/?attachment_id=1420	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/www.tedxyouthalamitosbay.com/feed/indexf145.html	(from http://www.tedxyouthalamitosbay.com/dsc_0142/)
14:27:54	2457/2457	---MCZ	200	added ('OK')	application/json	date:Sat,%2029%20Aug%202020%2021:27:58%20GMT	http://www.tedxyouthalamitosbay.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.tedxyouthalamitosbay.com%2Fdsc_0142%2F	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/www.tedxyouthalamitosbay.com/wp-json/oembed/1.0/embed3762.json	(from http://www.tedxyouthalamitosbay.com/dsc_0142/)
14:27:55	2591/2591	---MCZ	200	added ('OK')	text/xml	date:Sat,%2029%20Aug%202020%2021:27:59%20GMT	http://www.tedxyouthalamitosbay.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.tedxyouthalamitosbay.com%2Fdsc_0142%2F&format=xml	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/www.tedxyouthalamitosbay.com/wp-json/oembed/1.0/embed2e8f	(from http://www.tedxyouthalamitosbay.com/dsc_0142/)
14:27:56	2309185/2309185	---M--	200	added ('OK')	image/jpeg	etag:%226ab371b33a0446eb%22	https://i1.wp.com/www.tedxyouthalamitosbay.com/wp-content/uploads/2017/04/DSC_0143.jpg	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/i1.wp.com/www.tedxyouthalamitosbay.com/wp-content/uploads/2017/04/DSC_0143.jpg	(from http://www.tedxyouthalamitosbay.com/dsc_0143/)
14:27:58	18422/18422	---M--	200	added ('OK')	image/jpeg	etag:%22b50a74e8013781c9%22	https://i1.wp.com/www.tedxyouthalamitosbay.com/wp-content/uploads/2017/04/DSC_0142.jpg?fit=300%2C200	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/i1.wp.com/www.tedxyouthalamitosbay.com/wp-content/uploads/2017/04/DSC_014250d7.jpg	(from http://www.tedxyouthalamitosbay.com/dsc_0142/)
14:27:58	776/776	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22441777eda8d4bbb38fc6b9dace920920-gzip%22	http://www.tedxyouthalamitosbay.com/feed/?attachment_id=1419	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/www.tedxyouthalamitosbay.com/feed/indexb05d.html	(from http://www.tedxyouthalamitosbay.com/dsc_0140/)
14:27:58	2457/2457	---MCZ	200	added ('OK')	application/json	date:Sat,%2029%20Aug%202020%2021:28:02%20GMT	http://www.tedxyouthalamitosbay.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.tedxyouthalamitosbay.com%2Fdsc_0140%2F	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/www.tedxyouthalamitosbay.com/wp-json/oembed/1.0/embed3ecf.json	(from http://www.tedxyouthalamitosbay.com/dsc_0140/)
14:27:59	2591/2591	---MCZ	200	added ('OK')	text/xml	date:Sat,%2029%20Aug%202020%2021:28:04%20GMT	http://www.tedxyouthalamitosbay.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.tedxyouthalamitosbay.com%2Fdsc_0140%2F&format=xml	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/www.tedxyouthalamitosbay.com/wp-json/oembed/1.0/embede0ed	(from http://www.tedxyouthalamitosbay.com/dsc_0140/)
14:28:00	2270564/2270564	---M--	200	added ('OK')	image/jpeg	etag:%22cb75777c53fa51d8%22	https://i1.wp.com/www.tedxyouthalamitosbay.com/wp-content/uploads/2017/04/DSC_0142.jpg	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/i1.wp.com/www.tedxyouthalamitosbay.com/wp-content/uploads/2017/04/DSC_0142.jpg	(from http://www.tedxyouthalamitosbay.com/dsc_0142/)
14:28:01	18424/18424	---M--	200	added ('OK')	image/jpeg	etag:%2212d1e60f307e4226%22	https://i0.wp.com/www.tedxyouthalamitosbay.com/wp-content/uploads/2017/04/DSC_0140.jpg?fit=300%2C200	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/i0.wp.com/www.tedxyouthalamitosbay.com/wp-content/uploads/2017/04/DSC_014050d7.jpg	(from http://www.tedxyouthalamitosbay.com/dsc_0140/)
14:28:03	776/776	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%221f2c1a70d97458cab191f65a188b4f54-gzip%22	http://www.tedxyouthalamitosbay.com/feed/?attachment_id=1418	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/www.tedxyouthalamitosbay.com/feed/index295d.html	(from http://www.tedxyouthalamitosbay.com/dsc_0139/)
14:28:03	2457/2457	---MCZ	200	added ('OK')	application/json	date:Sat,%2029%20Aug%202020%2021:28:06%20GMT	http://www.tedxyouthalamitosbay.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.tedxyouthalamitosbay.com%2Fdsc_0139%2F	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/www.tedxyouthalamitosbay.com/wp-json/oembed/1.0/embed8968.json	(from http://www.tedxyouthalamitosbay.com/dsc_0139/)
14:28:04	2591/2591	---MCZ	200	added ('OK')	text/xml	date:Sat,%2029%20Aug%202020%2021:28:08%20GMT	http://www.tedxyouthalamitosbay.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwww.tedxyouthalamitosbay.com%2Fdsc_0139%2F&format=xml	C:/GitHub/mffais.github.io/tedxyouthalamitosbay/tedx/www.tedxyouthalamitosbay.com/wp-json/oembed/1.0/embede0dc	(from http://www.tedxyouthalamitosbay.com/dsc_0139/)
